Sentence,Label
i'm leaving now and where is foxtrot five at now over,Communications
charlie tuna said that direction how fast found one person oldtownmill building with 27 people in charville,Rescue words
could we have a water tanker at,Fire words
charlie house empty going to holvern denston only has two people in large buildings rip top left fire looking good let's head towards denstonfire,Rescue words
this is charlie at yet as a handful of people in winterfold i think maltings now gone so i send my other actually person down,Reasoning words
so just confirming,Other
this is bravo i'd still checking definitely people in charville i said,Action words
charlie and stood there weren't any major populations in which side were there otherwise i'll move 9 up to travel to stop activating over,Communications
charlie we need you in brightwood anywhere because it is about to ignite,Situation Awareness
bravo team fire is rapidly spreading towards lowtown,Situation Awareness
this is charlie fire has definitely started from z2 ad633,Communications
this is alpha there are 4 people in epping that i assume we have an evacuated i can give you the details of where they are if you would like that over,Rescue words
bravos team moving 5 unit 5 onto church 24 unit water remaining spreading the wind going south to north we should be fine i do not imagine if i was going to spread down to the grave is all fire church extinguished great success discount on the police station holding please,Situation Awareness
bravo the fire has now spread you are approaching at,Communications
after all splitting my fire trucks to the northeast want the southeast wrong place the northeast want a south east 1 north east north west office evacuating keep i have a fire truck in reserve still in uniform 9 over,Communications
charlie evacuation team where would you like me to commit it because at the moment it's not doing arthur,Communications
this is charlie at yet as a handful of people in winterfold i think maltings now gone so i send my other actually person down,Rescue words
roger what holvern please,Situation Awareness
india 350,Other
alpha echo broadcast yourself echo nova,Communications
2 minutes away from in the town of castleton want to  do the rest of their career to identify four pax at the police station of a,Situation Awareness
bravo yep confirm will send a units 4 and 5 down to swanton and,Situation Awareness
charlie up the newforest the woods got half of wychwood is as well to,Situation Awareness
this is alpha can we send fire-truck number for a number_6 up to check malton and i'll try and focus on this fire down here over,Situation Awareness
that's getting replaying on the way back moving to the central weekend bassline around esterly so easily clear and i've got a couple more builders in westhill to declare a moment in a church i haven't played yet but otherwise we're looking alright has anyone blackhill looked at blackhill,Situation Awareness
charlie thank you also check denston close closest to worthington could i ask this size of ask your dad to buy anywhere that has got people if you let me know numbers and location and i make a note on my map so i know where to head to friend on fire,Situation Awareness
bravo to all well it's quite so i think we had around 17 thetford about 101 pax at home is that correct thetford the big building in holvern in the church alone at home tonight over,Situation Awareness
no wind direction change so yes my concern is holvern and ask epping if your content is many clear then we can prioritise in holvern nothing can confirm whether you over,Situation Awareness
after all looks like worthington is safe from the fire pressure from the way there is no happened,Reasoning words
charlie i need to refuel perhaps bottom right change my location thank you 7 on its way to supplement,Communications
this is alpha the fire is currently at aa86,Communications
alpha that's now full again and on route back to your location i'm,Communications
rabbit,Other
roger just got to the wild campsite there is 100 people there i can't evacuate the meantime while trying to avoid the fire in the river,Rescue words
charlie if i do not think i'm going to  use another 7 water lisa,Fire words
this is bravo how's the evacuation of malton going,Situation Awareness
the two big buildings or fight the fire just south the biggest town in charville over,Situation Awareness
bravo moving logistics site to the north to refill firetrucks that unit 2682 support south of unit_3 for refill even,Action words
this is alpha i'm really trying than they're on their way but just slowly turn that my one of my rescue vehicles is still coming up from i think there's been quite slow i didn't holler need to be on main priority now over,Action words
charlie copied i will send my units up to check to see how many people are in those things are,Rescue words
this is alpha my newspaper clipping is about the community rallies around save cottage hospital it doesn't reference a group of people in any location over,Intel (from newspapers)
are you happy to take the suddenly one-,Other
charlie this single pax in the esterly  house in holvern,Situation Awareness
charlie if you can do that in lowtown  and just ping me the grids of where the main population is they will be the hospital at least then we know whether we need to decide or not just thinking further on my news article that shows if the fire is in the proximity of forward whether there's a large numbers of people are looking at squirrels but i suspect we have that one of the plan beat my location,Reasoning words
bravo you get a resource from your number_7,Communications
roger i actually think in charville in that all the time with we're going to have the fire on second might want to switch focus to woodside ever where's woodside sorry centre of the map project yankee in vicinity of all time is now extinguished i'm moving forward32 woodside to see if i can extinguish way of a fire is there at now moving 45 firetrucks and bowser 8 ward woodside why do evacuation truck sorry that loading or unloading,Reasoning words
this is bravo fire-truck to buy heavy realised you are out of water is,Fire words
alpha insofar in costa now i've only found one or two people in castleton signs i'm taking the cameras being two units to support the south by southeast fire station,Action words
alpha dol that's all three mifi unit in a top-right quadrant looking after the fire in,Communications
this is alpha there's a place called dripshillcopse do you think that could be at considering it's called hazeycopse,Situation Awareness
this is currently if you can see it,Other
in there is one person at my current position on five,Other
bravo canadian echo report that there is going to be a royal visit suggested could be prince william or kate middleton and it's part of the royal businesses and community during their canada visit tour of a shopping centre at a visit significant boost as local shopping centre was been struggling due to declining football local businesses hoping it works large crowds to the centre to help with vitalized economy there is no name of where the shopping centre actually is my local team football success in vicinity of breydon which is right but that's that all the relevant information there is just successful and,Situation Awareness
charlie noted,Communications
this is alpha it's probably going to start heading towards greenhill now have no water where's the best place to meet a water truck over,Situation Awareness
break fire has started in the south of underwood move a six on to it thank you up and move for downs next to one already,Situation Awareness
charlie can you home to see if there's any sight of a fire of malton,Situation Awareness
to go replen water vehicles,Fire words
roger team i've got a news article called wrongful arrest it talks about an arrest made in hanley person get from hanley to swanton where they stopped by police officers they then mentioned out that they gone to custody at castleton so suggest castleton has a point of interest and the lower half of the grid team agreed to explore my news article discusses a theft in castlehill motor theft and please advise residents to be vigilant so it implies residents are still in castlehill likely to be populated along with castleton and hanley days for areas would be high priority in terms of scouting over,Intel (from newspapers)
charlie note the wind coming in from the north blowing southerly to worry hanley the campsite at wildwood  return 100 something people in over,Situation Awareness
charlie think it might be worth moving your 5-ft 7 wrong what about the 7 into a location to support the 750 brake cover,Reasoning words
this is alpha yeah ok i'm currently moving my water tank it down to wildwood  can you confirm what position your on i'm currently on g32liquid and i have tankers trying to block the fire way from castlehill at,Fire words
roger and your fans just died callsigns 104 people at the campsite at wildwood over,Rescue words
this is alpha i'm happy to do that in terms of fighting the fire i think based on the we should probably just dispatch all units to try and cut it from the source over,Reasoning words
esterly clear confirmed is 26 people on romeo 13 wrong romeo 30 tango for 13 people can go for 13 people you got to remain application for can we get bowser of 7up near charville please go to 32 personnel recommend i remain on tango to,Situation Awareness
this is bravo i think sending people to check in at the castleton population cos i think that might be quiet around the police station police station in bolton as well,Action words
roger moving over,Communications
charlie i can't evacuate anyone from also is it worth us just pushing on to a new location yeah i think malton pretty much saved i'm moving my firetrucks now in anticipation down to the block of underwood and castlehill over,Situation Awareness
this is charlie i suggest that given the wind direction we put some firetrucks up in northeast corner greenhill,Situation Awareness
this is to you put my engine on any of the houses you haven't yet evacuated at,Other
bravo do you think you'll need the water truck to move south denston and worthington,Situation Awareness
charlie have now got a line of fire-assets between the fire and thetford over,Situation Awareness
alpha fire is fast approaching malton i'm trying to block the wind speeds 50% higher than it was will move quicker might be worth just creating a bloc close to the town earlier and move rescue vehicle 9 to act as leaving it west over,Situation Awareness
this is bad i can confirm this,Other
roger outside the north is going to fall on inferno other the south is now lost i'm going to head all my units to the north if esterly  and his son would recommend just sticking your firetrucks onto the large buildings,Situation Awareness
roger i'll go north vehicles also want to hold anyone to ask you to start the relocation and,Communications
charlie i think i've got everybody in lowtown|1loaded and moving to south southwest location over,Situation Awareness
this is bravo i think the castle hill castleton fire i can't get my dinner setting there now,Reasoning words
bravo team i also have a large gathering it's taking place in a shopping centre involving british royal family doesn't say where the shopping centre is so suggest we consider all locations on the map at this stage and less any further info is provided out same does not refer to a large gathering instead focusing on the success of the top team in breydon not imagining that there's going to be a pic group of people there but i guess we'll see,Intel (from newspapers)
charlie did you check the hospital in the astley area all of my assets towards the holvern area over,Action words
individual at 15 or 1 individual app it's going to be 13 or 18because there's so many of them could somebody check newton please because in the fire it's going to get it might get the bottom of charville is going to get woodside and i'll turn in eaton yes,Situation Awareness
bravo affirmative that's not going to say that the evacuation is both trucks in situ and loading it takes a long time i'm going to put basically around the campsite and ignore the rest of the wood might pay off with the campsite but risk to swanton and afterwards so we have to move quickly while you're both chucked half-full five pax and there's 85 pax remaining in campsite over,Situation Awareness
this is bravo castleton it is very likely to be busy beaconhill is potentially to be busy and probably are individuals both in hanley and swanton,Situation Awareness
charlie moving six down to lowtown still on especially near esterly top right appears to have burned out to support lowtown  moving to you three,Action words
bravo to all vehicles t-34 are full sending a set of water try to be revealed herself rather 21655 it was a fool me back replacement truck back to refill unloading personal vehicles in buildings in the current location sets the church in holvern and building in oscar 23-in breydon i'm not going to say so it's over,Fire words
charlie to confirm the church at holvern in the northeast of the map has over,Situation Awareness
charlie and currently loading at some people in winterfold,Situation Awareness
this is bravo the water is currently but your next to it over,Fire words
charlie the show me in swanton is empty proceeding to wildwood  with the second rescue vehicle to expedite the personnel transfer just moving my refill to william,Situation Awareness
allcallsigns all three or now between thetford and expected start of the fire over,Situation Awareness
charlie if you'd be able to do that that is potentially very large conference there ever yeah that is,Intel (from newspapers)
alpha so mine says that there is a school team football and apparently like boys and girls age 9 to 11are doing well it's inspired a lot of kids to take up football and it says that they're team is in breyden royals are coming to visit canada so i guess we're in canada now it seems to suggest that there is one that sort of local shopping centre and on the map i can see that is worthington that has,Intel (from newspapers)
unit 4 on,Other
this is where can i ask do we have we know how many people are in denston,Rescue words
charlie just checking castleton now for all core size is,Action words
rogerlooking for point of view of people and risk management i'm looking at castlehill and underwood as being particularly with that fire that would in between that could spread quickly so just see your way i'm focused on at the moment over,Situation Awareness
charlie so i think i've almost played charville leicester police station and i'm checking castleton it looks pretty empty over,Reasoning words
does that mean that you've got one record truck going to each other's locations over,Communications
alpha ex17 1al 4 kg 14125 kilo-juliet 4282 upper juliet 13 to direction of wind has changed at the campsite in wildwood  which is golf 32 has a number of people 104 campsite it looks like malton has a large concentration of people especially at the police station suggest we took the fire at p20 quickly and then move down to a case 39,Situation Awareness
bravo i do not know about the numbers in newton  who checked it oh yeah i've checked it and i just i just found those to the f25 is on route to oldtown it down it was just two people in one of the buildings in oldtown,Situation Awareness
roger actually another three on just checked it's medium priority i think to locate the large population in the shopping centre and i've just found it thetford has 7 in high rise building knowledge,Action words
alpha i'm happy but it's the both of you need it for my tummy but i will position them near the fire in there firetrucks in general anyway it is,Communications
mine is talking about some football successes i do not think as well looking for today about a get-together interfaith day trip get up talks about previous incidents religious intolerance and hate headlines but no specific location given for the day,Intel (from newspapers)
alpha one and two also on route underwood directly over,Situation Awareness
just done it,Other
y rather than firefight at j24 instead team if you're not allowed on the focusing on winterfold i've got hanley can someone please take something thank you,Situation Awareness
bravo please move 6 into the town on top of,Communications
this is charlie and i will refill by the middle of,Communications
charlie i'm looking to move people into the hospital if we can protect the hospital in swanton over,Situation Awareness
charlie do you need to recall your water i partly have the 8th position in castleton and i have television in malton,Fire words
roger in which case i pretty sure that's that's that nicked other agree bowser on kg 10 if needed denston i've got a vehicle in worthington commencing search there other app with my other vehicle and remove to brydon and continue my clearance there where we setting up for the second fire i think if we screened the inside of worthington then hopefully the final continue to go down to the bottom corner and burn itself out confirm eastside westside worthington we want to check to make sure check in the hospital and the large building in worthington probably roughly want to be sitting so from ad eastward's all of those buildings are clear in worthington ok will let that case let's go to worthington so clear the hospital now i'm going to keep engines two and three in the centre because i think the fire if it's not hit lights out i'm going to move engine north of denston sort of south of holbeechwood i  would recommend once we've cleared that worthycopse all vehicles stay in the vicinity of breyden epping and holvern eastern side of the map is not now going to clear the green engine to you i've seen burnt out fire to the east of breydon screen 28i,Situation Awareness
this is bravo this fire-truck 80s alternative and also heading to the middle sorry about that,Communications
bravo team just to confirm locations started locations where we positioning are units go through a starter box one two three and four you can let me know how to trolley i didn't understand repeat please just let me know your fire-units where they're going to be to start with less down a starter units how to seam fire-unit 1 will be going to trenchwood buying a two will be going to wildwood campsite and fire-unit_3 i'm going to place a castlehill hospital can you repeat 45-minute to please our unit 2a wildwood  campsite,Situation Awareness
i found one person in eating at d22,Other
charlie please let me know when malton is evacuated malton has 106 personnel required assistant location over,Situation Awareness
bravo team looks like we're getting the yankee under control,Reasoning words
bravo team likewise unable to see the,Communications
by mistake rsa i only collected for people from lowtown|1which are being unloaded as we speak hopefully that was everyone i believe i checked every square is basically either out in lowtown  or has burnt through i think we actually managed to save about not bad going concern with a circulatory act i think i think the priority should be now stopping the fire spreading towards at the cops and potentially further no cancel especially gone up a teams,Action words
this is alpha can i have a water truck moved to hotel 8/4 truck on its way at,Fire words
this is it has the 10 in newforest been checked as,Situation Awareness
bravo you happy to move assets 4 and 5 the fire near epping over,Situation Awareness
alpha,Communications
rather one person,Other
this is alpha i suggest we go and move locations around to wildwood  then because there's 100 people in that campsite,Situation Awareness
roger pax in astley esterly a,Rescue words
roger seen fire in,Communications
this is alpha there's about to get hit by the fire so if you've got spare units i might be worth heading down towards their over,Communications
charlie could somebody on my engine for thank you i just said the same thing is me,Communications
what you mean by yourself i realise that didn't make sense just when we're fighting the fire do you want to call need water or would you like me to tell you where i'd like them over,Fire words
bravo swanton do we have another water asset down by castleton over,Situation Awareness
bravo yet leaving both truck to still unloading pax it's safe locations it takes in taking long time other,Rescue words
bravo it looks like the fire between castleton and control not spread it any further towards underwood i'm moving fire-truck 3 between castleton and swanton to recce area make sure team i suggest ready to central water bowser location to replen on reset over,Fire words
