Sentence,Label
at all how are you saying that we do not know find a team doctor 87/12 winterford going to check the campsite and transferred over,Action words
alpha confirm where you want foxtrot 6 over,Communications
charlie nothing is yet just to make sure it doesn't turn over,Communications
roger out you want to send one unit north to help us if you can protect woodside other and seeing i'm going to move refilling on the way of making to refill the north seems to be coming under control now other control to all units fighter what's the squirrels are safe as well as a safe wish we regroup,Woods
this is charlie it looks like the fire spread not to astley it's currently,Reasoning words
i did not i will be checking our,Action words
this is bravo it looks like both fires have been extinguished,Reasoning words
so we've lost one person getting but i'm on the other house until the fire burns out and i'll move towards thetford i'll give you night on from the the fire of itthis is going to be in kg 12 and i'll have a fat spread out outside of that,Fire words
charlie evacuation team where would you like me to commit it because at the moment it's not doing arthur,Communications
alpha my concern now is castleton over,Named Locations
charlie i think if we ignore the fire near where the captain brightwood we should be able to get every day and time i'm more concerned astley events if we can focus resources up there i think that would be good if you move your engines up there of your 23 and it's not there after that would be fantastic thank you ever there are two individuals at z3 in astley,Reasoning words
bravo water unit 8 do not worry we need a washing up in thetford received on it's on its way back just very slow,Fire words
moving out it looks like or higher density,Reasoning words
charlie what are 2 hours like in clare travertine that's definitely 100 people in those houses then we can play in the same do we have no fire-engines in winterfold team northern winterfold no one in the church i need to assess east and south team can we cover,Rescue words
charlie confirming wychwood clear of people ever size will be ignited at grid references am 4 and 25 in 3 minutes we'll be ignited at grid references am 4 and5 in 3 minutes,Rescue words
this is alpha in terms of tackling the thing is i think we're going to need to be a lot more communicated of where the i'm going to try and mark on my map where the fire is got too so if you guys could just keep up reporting in on where you can see it then that would help me her track our response to it go to the rescue shall i aim for the lower populated areas to rescue and then the higher popular series to try and do the defence for the fire and his,Action words
charlie copied i will send my units up to check to see how many people are in those things are,Rescue words
charlie noted given the numbers i'm not going to be able to get any more than 10 max wasn't able to prevent any size reaching them you know is there a sense check on the amount of people in castleton,Rescue words
alpha india to,Communications
bravo vehicles on route to my location to one person deptford would go for the 37 people in the bottom left large building in thetford chorley coat and 10 people,Rescue words
roger and worthington thetford town and free to brightwood and then i'll move them it towards langdalewood vehicles on route to my three locations,Directions
this is alpha we've made an assumption that the religious coincide with the football team it might be there it is entirely possible that the fire might be near holvern because they might not they might just be my not be connected events but it might be more likely perhaps that a religious thing is an oven that's true depending on wind direction though we might be able to this calvin if the winds coming from the east noted so over,Fire words
bravo gone instant and wrongful arrest in swanton the individuals taken into custody at castleton and maybe some rest are just off to castlehill and resident so warns not to leave keys at cars unlocked and then we'll the terriers,Intel (from newspapers)
alpha am looking at the fire the only the very western a map over,Fire words
you let me know what are there in i can head over,Communications
roger finding multiple never still got a fire around malton but the police station is safe and the fire getting anywhere closest population centres unit,Action words
charlie think it might be worth moving your 5-ft 7 wrong what about the 7 into a location to support the 750 brake cover,Action words
alpha i'm happy but it's the both of you need it for my tummy but i will position them near the fire in there firetrucks in general anyway it is,Fire words
this is bravo i think it's about 30 30 people in the office no 1 in the charts in the hospital no one in the church where's the office in greenhill the hospital going to the hospital now then you have sent my units up to the black corner then fully im4 fire started am fire has started as well i have my dinner on the way now where is two-thirds of the way up the screen so where is everybody in woodside my three engines is,Rescue words
charlie i'll send some direction anyway that's not been searched yet newton  robin still searching charvilleand haven't got bathroom woodside yet i've got quite a few people in the large buildings in charville sea north east of greenhill green hill hospital in greenhills got a lot of people that can we get some something into the hospital or something within reach of it,Rescue words
charlie how are fires looking one up top left seems alright bye-bye newforest is spreading quite heavily,Fire words
this is alpha is that castleton could be either but castleton police station is closer to where the wrongful arrest happened you have a point so should we do some to just find out where the people are called then we can infer where these things actually happening i think that's a good shout ok,Rescue words
roger actually another three on just checked it's medium priority i think to locate the large population in the shopping centre and i've just found it thetford has 7 in high rise building knowledge,Action words
roger a place in the south also our fire in south is spreading both north and south simultaneously my water bowsers doing a handover,Fire words
charlie confirmed thank you should be able to evacuate all if not most of them over,Communications
y assets to check the two campsites over,Action words
bravo so what i'll do with my 3 vehicles i'll check westhill and esterly  to start off with a priority and then i'll move over,Action words
age and i'm just feeling as we discussed as a mummy call out a clear area underwood has 5 buildings in if you've got a pen just cross it off so when all kicks off at least you know that area will be will be can have cleared over,Woods
alpha 2 all large building and castlehill rm3 over,Buildings
age across the a04 are fire protection voice making sure it's relatively near to some the population centres thetford and worthington over,Fire words
mine is about red squirrels in firwood there are unfortunately there's no people so firwood goes really a lot of red squirrels but nothing else is about red about a hospital which was on the verge of closing but all the residents just set up little events to help raise money for them,Rescue words
charlie sending rescue 10 from the transit centre into the woodside area on route now,Woods
alpha india 35 puppy dog lick it an l-shape around that corner of the map a d32 for people,Rescue words
this is alpha in terms of fighting the fire wind to be a north westerly so the two immediate towns in danger denston and thetford on if we could dispatch,Fire words
bravo yep you got the hospital in swanton potentially will have a lot of people,Rescue words
alpha fire-truck 2 is heading towards number_7 now,Fire words
moving as once it's clever,Other
roger unit 8 is complicated with your unit_3 other,Communications
at all i'm sending my two fire trucks to the southeast of malton and send it via going to be a p20 that no one there at the moment i suggested by clear malton that we let it burn over,Reasoning words
charlie is fine it's a present to thetford go right,Named Locations
charlie have you managed to get thetford evacuated moving on to 25 how would you feel that in epping,Named Locations
roger all this money for the pine quickly to the north west of beacon hill centre just to the southeast,Communications
bravo talk all saints i will send you one firetruck to epping and one too long what's on route to breydon and holvern and a firetruck on route to the campsite thetfordwood campsites keeping fire acid-free in centre sending one fire-truck to worthington at the church is not the wood has won over,Fire words
this is charlie my news article is uk news about the international steel manufacturers conference starting today so potentially that's going to be a high concentration of people either the three large buildings in oldtown or firwood if we really loves red squirrels that's like a hospital cottage i'm getting up the one in greenhill loads of people really like and their fundraising to keep it open and the residents are organising community events and bake sales and donation yeah so it's a hospital cottage that's good in terms of splitting up to do the initial checks if whenever you want to take charville woodside and greenhill and,Rescue words
roger yeah just seen you before 4 if that hit newforest a bit of trouble so if you manage to contain it prior to get it in then we are,Hills and Forests
rather once head to breydon and south of langdalewood both my trucks baggage transfer about to be unloaded i'm going to move langdalewood to make sure there's no one there a correction to my last if you head to breydon with your truck sponge we planned extent,Woods
after all breyden has less than 10 people in total in the location private school denston has three people in the southern large building should i send was there fire trucks south to the instant the most heavily populated southeast which will be going from c332 that that the priority over,Rescue words
this is alpha happy to do wildwood  hand the swanton and then move on to castleton,Woods
