Sentence,Label
ed in as the wind direction is heading west i think we should work under the assumption that wildwood s is hazeycopse music festival for some reason it's telling me that beyonce bruno mars and kendrick lamar are going to be playing so i do not know if we need to fack do anything just my samsung be a fat information to relevant it's just give me that there's an awful lot of people in which case it's probably going to  be easier to just have an engine parked on that single tent rather than me trying to calculate i didn't also the last two times the directions to be the opposite of where it started in the stage i do not know going to be consistent but it's just worse than one day i just,Buildings
charlie starts evacuations in greenhill in lowtown  over,Hills and Forests
now they can when you're on it just click on the unit in the top number of people in the bottom left of malton then i'm doing trenchwood  so i'll do the northern section winterfold trenchwood  and beaconhill,Named Locations
charlie and said he won't firetruck down to your location in woodside travel around the big buildings is,Woods
charlie good job quality mission accomplished will not be reignited at k35 you message that kp35 and a e16 in 2 minutes repeat play 35 and 8016 in 2 minutes i've seen oh dear alveston be advised we're not going south to north sea sending unit 10 to the bright wood campsite and92 epping to advise on fire-unit_6,Fire words
alpha it's also worth tracking that langdale has settlements in as well as the campsites in breydon thetfordwood is worthycopse has got a building as well i'm going to start in the middle of breydon to vehicles getting rid of all the people that are in also send a vehicle to denston to have a look at breydon and denston can you to workout plan to get around the other places area of is it worth,Woods
position in front of underwood to protect castlehill to team i've got unit 9 heading to handley and swantont to do a civvy count advice but unit_6 please over,Named Locations
charlie has denston been checked just finished checking denston there are 6/8 people over,Rescue words
charlie at the far is now in hull i'm a bad any my position to set up a new blocking line just south of holvern because the fire can spread so quickly on the setting up line,Named Locations
alpha so mine says that there is a school team football and apparently like boys and girls age 9 to 11are doing well it's inspired a lot of kids to take up football and it says that they're team is in breyden royals are coming to visit canada so i guess we're in canada now it seems to suggest that there is one that sort of local shopping centre and on the map i can see that is worthington that has,Intel (from newspapers)
bravos getting denston worthington i'll send one of my vehicles through brightwood and the epping check the campsite and police station of trees around brightwood and holbeechwood this first one is a fire,Fire words
charlie what location is a fire at the moment,Directions
1 fire 2 am 4 and 1 to 25 second person recover,Fire words
alpha i'm going to occupy two of those buildings and then we'll start from there baseline on 9/11 south oxford suggest 12:00 caps that last building always clear,Reasoning words
charlie currently in firefighting condition in whiskey 25 line extends whisky and x-ray 25 26 27 assistance,Fire words
this is our first cause there at wildwood  104 in this campsite over,Woods
